iter	RMSE
0	4304.384445
1	4033.290825
2	3802.286717
3	3595.040988
4	3415.836707
5	3244.659847
6	3102.009482
7	2967.931804
8	2851.668516
9	2755.38447
10	2662.758942
11	2583.041664
12	2508.450207
13	2447.309253
14	2387.377407
15	2334.884784
16	2281.203327
17	2235.841914
18	2201.384287
19	2170.655125
20	2139.409062
21	2110.761481
22	2090.302196
23	2064.992658
24	2043.86349
25	2024.705894
26	2008.694958
27	1994.961207
28	1982.182817
29	1970.378466
30	1960.665262
31	1953.032635
32	1943.865643
33	1936.260664
34	1925.701584
35	1916.607174
36	1907.957191
37	1900.059416
38	1894.257717
39	1886.959574
40	1881.851576
41	1875.912807
42	1870.292473
43	1865.2725
44	1860.614709
45	1856.359272
46	1851.97158
47	1847.953111
48	1844.751241
49	1840.752813
50	1838.250412
51	1835.434143
52	1832.230145
53	1828.74944
54	1825.999134
55	1823.206508
56	1821.064347
57	1818.267512
58	1816.604249
59	1813.69277
60	1811.285887
61	1809.678962
62	1807.832711
63	1805.524101
64	1803.699072
65	1800.847124
66	1798.57388
67	1797.177766
68	1795.730402
69	1793.443296
70	1792.030575
71	1789.675036
72	1788.668356
73	1787.446538
74	1785.052517
75	1783.393479
76	1782.024509
77	1780.187875
78	1778.510935
79	1776.704099
80	1774.814801
81	1773.486276
82	1772.280178
83	1770.94952
84	1769.931813
85	1768.807863
86	1766.719405
87	1765.100061
88	1763.764768
89	1763.052054
90	1762.045868
91	1760.227903
92	1759.162275
93	1757.175118
94	1756.066968
95	1754.666737
96	1753.968132
97	1752.974061
98	1751.531215
99	1749.943442
100	1748.282293
101	1747.021352
102	1745.854384
103	1744.942613
104	1744.196252
105	1742.890471
106	1742.079374
107	1740.594235
108	1740.132627
109	1739.353152
110	1738.789836
111	1737.196453
112	1736.559343
113	1735.856288
114	1734.98505
115	1733.739766
116	1732.8423
117	1731.681579
118	1730.140761
119	1728.907657
120	1727.518438
121	1726.048365
122	1724.751053
123	1724.275544
124	1723.017362
125	1721.754921
126	1720.137992
127	1719.214927
128	1718.885413
129	1718.437493
130	1717.257982
131	1716.536524
132	1715.476383
133	1714.640525
134	1713.2367
135	1711.961158
136	1710.862952
137	1709.816624
138	1709.186886
139	1708.08562
140	1707.683862
141	1706.816223
142	1705.702267
143	1705.172858
144	1703.959931
145	1702.894617
146	1701.880373
147	1701.353609
148	1700.61227
149	1699.594632
150	1698.75458
151	1697.591849
152	1696.989897
153	1696.333663
154	1695.903147
155	1695.072444
156	1694.727994
157	1694.345512
158	1694.137102
159	1693.400609
160	1692.986138
161	1692.771456
162	1692.184433
163	1691.405557
164	1690.822787
165	1690.203079
166	1689.884753
167	1689.569835
168	1689.051981
169	1688.055332
170	1687.674705
171	1687.184502
172	1686.821221
173	1686.487742
174	1686.173917
175	1685.579635
176	1684.720623
177	1683.803094
178	1683.311586
179	1682.68747
180	1682.312328
181	1682.043019
182	1681.736688
183	1681.229006
184	1680.594016
185	1679.886933
186	1679.215825
187	1678.79336
188	1677.929216
189	1677.648309
190	1677.105987
191	1676.375333
192	1675.770222
193	1675.287672
194	1674.914404
195	1674.306595
196	1673.569503
197	1672.676665
198	1672.126015
199	1671.622891
200	1671.172931
201	1670.836525
202	1670.378165
203	1669.264597
204	1668.369995
205	1668.003058
206	1667.758189
207	1667.000583
208	1666.410075
209	1665.586886
210	1664.924251
211	1664.396256
212	1663.344659
213	1663.075127
214	1662.626037
215	1662.416442
216	1661.85059
217	1661.447107
218	1660.889423
219	1660.528281
220	1660.487828
221	1659.415016
222	1658.947294
223	1658.563961
224	1657.798285
225	1657.329408
226	1656.651724
227	1656.331576
228	1655.701522
229	1654.966347
230	1654.746896
231	1654.24136
232	1653.782761
233	1653.23093
234	1652.956388
235	1652.552578
236	1651.816967
237	1651.394676
238	1651.055751
239	1650.752057
240	1650.154261
241	1649.727086
242	1649.339316
243	1649.040234
244	1648.349087
245	1647.9635
246	1647.713298
247	1647.319384
248	1647.175392
249	1647.019544
250	1646.89392
251	1646.292654
252	1645.945285
253	1645.703153
254	1645.469125
255	1644.910284
256	1644.666028
257	1644.377409
258	1643.810027
259	1643.277445
260	1642.49702
261	1642.49081
262	1642.05024
263	1641.537339
264	1641.293182
265	1640.852349
266	1640.841122
267	1640.275495
268	1640.041464
269	1639.657441
270	1639.325199
271	1638.814135
272	1638.502055
273	1638.186698
274	1637.548548
275	1637.362946
276	1637.106752
277	1636.814121
278	1636.346898
279	1636.042131
280	1635.39193
281	1634.816091
282	1634.419717
283	1633.987079
284	1633.794561
285	1633.552658
286	1633.107479
287	1632.959121
288	1632.483482
289	1632.065033
290	1631.633881
291	1631.484289
292	1631.266746
293	1631.000421
294	1630.579858
295	1630.367685
296	1630.04004
297	1629.210258
298	1629.006787
299	1628.787356
