iter	Passed	Remaining
0	62	18835
1	112	16787
2	156	15482
3	203	15024
4	258	15222
5	298	14607
6	348	14594
7	398	14548
8	450	14553
9	491	14251
10	530	13947
11	582	13986
12	635	14030
13	682	13943
14	730	13876
15	776	13788
16	825	13735
17	879	13781
18	928	13730
19	980	13729
20	1028	13665
21	1075	13590
22	1120	13495
23	1163	13377
24	1195	13155
25	1243	13105
26	1289	13039
27	1338	13006
28	1377	12868
29	1414	12732
30	1465	12715
31	1500	12568
32	1546	12516
33	1590	12440
34	1646	12467
35	1690	12399
36	1740	12369
37	1793	12364
38	1836	12291
39	1871	12163
40	1902	12017
41	1945	11950
42	1986	11872
43	2033	11831
44	2075	11763
45	2124	11730
46	2163	11644
47	2206	11584
48	2253	11544
49	2308	11544
50	2356	11503
51	2405	11473
52	2453	11435
53	2503	11402
54	2539	11313
55	2587	11275
56	2633	11226
57	2680	11183
58	2729	11151
59	2784	11138
60	2828	11083
61	2876	11040
62	2922	10992
63	2960	10915
64	3015	10903
65	3065	10868
66	3103	10791
67	3153	10758
68	3197	10704
69	3230	10613
70	3287	10602
71	3342	10583
72	3384	10524
73	3436	10494
74	3466	10400
75	3512	10353
76	3546	10271
77	3595	10233
78	3640	10184
79	3691	10152
80	3741	10117
81	3788	10072
82	3833	10023
83	3877	9970
84	3925	9929
85	3973	9887
86	4017	9836
87	4059	9780
88	4099	9718
89	4146	9675
90	4189	9621
91	4230	9565
92	4286	9540
93	4320	9467
94	4370	9431
95	4419	9391
96	4469	9352
97	4508	9292
98	4558	9255
99	4588	9176
100	4637	9138
101	4684	9094
102	4726	9040
103	4773	8996
104	4822	8955
105	4863	8901
106	4920	8874
107	4966	8829
108	5012	8782
109	5067	8752
110	5114	8708
111	5151	8647
112	5192	8593
113	5242	8553
114	5291	8512
115	5346	8480
116	5393	8436
117	5440	8391
118	5494	8356
119	5545	8318
120	5595	8277
121	5640	8228
122	5688	8185
123	5734	8139
124	5779	8091
125	5831	8052
126	5875	8004
127	5926	7963
128	5977	7924
129	6027	7882
130	6074	7836
131	6125	7795
132	6163	7739
133	6211	7695
134	6266	7659
135	6313	7613
136	6368	7577
137	6417	7533
138	6467	7490
139	6508	7438
140	6562	7399
141	6609	7353
142	6656	7308
143	6698	7256
144	6754	7220
145	6800	7172
146	6838	7117
147	6885	7071
148	6927	7020
149	6974	6974
150	7026	6933
151	7073	6887
152	7119	6839
153	7167	6795
154	7210	6745
155	7255	6697
156	7311	6659
157	7364	6618
158	7415	6575
159	7465	6532
160	7514	6487
161	7573	6451
162	7628	6411
163	7682	6371
164	7734	6328
165	7787	6286
166	7844	6247
167	7895	6203
168	7937	6152
169	7977	6100
170	8028	6056
171	8070	6006
172	8122	5962
173	8181	5924
174	8241	5886
175	8287	5838
176	8336	5793
177	8391	5751
178	8439	5705
179	8489	5659
180	8547	5619
181	8602	5577
182	8650	5530
183	8700	5485
184	8744	5435
185	8797	5392
186	8854	5350
187	8904	5304
188	8945	5253
189	8992	5206
190	9039	5158
191	9088	5112
192	9138	5066
193	9186	5019
194	9237	4973
195	9284	4926
196	9334	4880
197	9379	4832
198	9423	4782
199	9468	4734
200	9520	4689
201	9553	4635
202	9590	4582
203	9636	4534
204	9675	4483
205	9712	4431
206	9760	4384
207	9808	4338
208	9860	4293
209	9905	4245
210	9951	4197
211	9999	4150
212	10038	4100
213	10080	4051
214	10113	3998
215	10159	3950
216	10215	3907
217	10258	3858
218	10306	3812
219	10354	3765
220	10400	3717
221	10440	3668
222	10491	3622
223	10533	3574
224	10579	3526
225	10615	3475
226	10666	3430
227	10705	3380
228	10752	3333
229	10800	3287
230	10845	3239
231	10889	3191
232	10934	3144
233	10988	3099
234	11042	3054
235	11092	3008
236	11143	2962
237	11199	2917
238	11252	2872
239	11306	2826
240	11353	2779
241	11406	2733
242	11449	2685
243	11502	2639
244	11550	2593
245	11603	2547
246	11646	2498
247	11689	2451
248	11730	2402
249	11790	2358
250	11841	2311
251	11887	2264
252	11930	2216
253	11977	2169
254	12019	2121
255	12066	2073
256	12121	2028
257	12179	1982
258	12231	1936
259	12284	1889
260	12332	1842
261	12371	1794
262	12421	1747
263	12471	1700
264	12522	1653
265	12562	1605
266	12610	1558
267	12650	1510
268	12693	1462
269	12737	1415
270	12776	1367
271	12822	1319
272	12852	1271
273	12882	1222
274	12926	1175
275	12961	1127
276	13008	1080
277	13057	1033
278	13103	986
279	13149	939
280	13195	892
281	13249	845
282	13295	798
283	13345	751
284	13385	704
285	13429	657
286	13471	610
287	13503	562
288	13548	515
289	13595	468
290	13638	421
291	13680	374
292	13722	327
293	13770	281
294	13806	234
295	13842	187
296	13878	140
297	13922	93
298	13971	46
299	14023	0
